,"(0, 0, 5)","(0, 1, 4)","(0, 2, 3)","(0, 3, 2)","(0, 4, 1)","(0, 5, 0)","(1, 0, 4)","(1, 1, 3)","(1, 2, 2)","(1, 3, 1)","(1, 4, 0)","(2, 0, 3)","(2, 1, 2)","(2, 2, 1)","(2, 3, 0)","(3, 0, 2)","(3, 1, 1)","(3, 2, 0)","(4, 0, 1)","(4, 1, 0)","(5, 0, 0)",player,iteration
112,-28.0,-7.0,13.0,20.0,4.0,-24.0,-12.0,-1.0,1.0,7.0,-9.0,0.0,-7.0,-6.0,0.0,13.0,5.0,6.0,10.0,2.0,-19.0,A,56
113,-33.0,-6.0,5.0,-5.0,-18.0,-35.0,-6.0,2.0,1.0,1.0,-8.0,-5.0,-9.0,0.0,4.0,-20.0,-14.0,-1.0,-27.0,-17.0,-39.0,B,56
114,-28.0,-7.0,13.0,20.0,4.0,-24.0,-11.0,-1.0,1.0,8.0,-8.0,0.0,-8.0,-6.0,1.0,12.0,4.0,6.0,9.0,1.0,-20.0,A,57
115,-33.0,-6.0,5.0,-5.0,-18.0,-35.0,-5.0,3.0,2.0,1.0,-8.0,-4.0,-8.0,0.0,3.0,-19.0,-14.0,-2.0,-27.0,-18.0,-40.0,B,57
116,-28.0,-7.0,13.0,20.0,4.0,-24.0,-10.0,-1.0,1.0,9.0,-7.0,0.0,-9.0,-6.0,2.0,11.0,3.0,6.0,8.0,0.0,-21.0,A,58
117,-34.0,-7.0,5.0,-4.0,-17.0,-35.0,-6.0,2.0,2.0,2.0,-8.0,-5.0,-9.0,0.0,3.0,-19.0,-14.0,-2.0,-26.0,-18.0,-40.0,B,58
118,-30.0,-9.0,11.0,19.0,4.0,-25.0,-12.0,-3.0,-1.0,8.0,-8.0,-1.0,-10.0,-7.0,1.0,11.0,3.0,5.0,8.0,-1.0,-22.0,A,59
119,-33.0,-5.0,7.0,-2.0,-16.0,-35.0,-5.0,4.0,4.0,3.0,-8.0,-4.0,-7.0,1.0,3.0,-18.0,-13.0,-2.0,-25.0,-17.0,-39.0,B,59
120,-30.0,-9.0,11.0,19.0,4.0,-25.0,-11.0,-3.0,-1.0,9.0,-7.0,-1.0,-11.0,-7.0,2.0,10.0,2.0,5.0,7.0,-2.0,-23.0,A,60
121,-33.0,-5.0,7.0,-2.0,-16.0,-35.0,-4.0,5.0,4.0,3.0,-7.0,-3.0,-7.0,0.0,3.0,-18.0,-14.0,-3.0,-26.0,-18.0,-40.0,B,60
122,-31.0,-10.0,11.0,19.0,3.0,-26.0,-11.0,-3.0,-1.0,9.0,-7.0,0.0,-11.0,-7.0,3.0,10.0,1.0,5.0,6.0,-3.0,-24.0,A,61
123,-33.0,-4.0,8.0,-2.0,-17.0,-36.0,-4.0,6.0,4.0,2.0,-8.0,-3.0,-7.0,-1.0,2.0,-18.0,-14.0,-3.0,-26.0,-17.0,-40.0,B,61
124,-32.0,-11.0,10.0,19.0,3.0,-27.0,-11.0,-3.0,-1.0,9.0,-7.0,1.0,-10.0,-7.0,3.0,11.0,1.0,4.0,6.0,-4.0,-25.0,A,62
125,-34.0,-5.0,7.0,-2.0,-17.0,-37.0,-4.0,6.0,4.0,2.0,-8.0,-2.0,-6.0,-1.0,2.0,-17.0,-14.0,-4.0,-26.0,-18.0,-41.0,B,62
